Node 0,Node 1,Node 2,Node 3,Node 4,Node 5,Node 6,Node 7,Node 8,Node 9
10000000000,10000000000,10000000000,10000000000,10000000000,10000000000,10000000000,10000000000,10000000000,10000000000
42208940450,42208140969,42174972679,42218288230,42124370635,42212533673,42201075166,42111216094,42313330257,10000000000
57208940450,57208140969,57174972679,57218288230,57124370635,57212533673,57201075166,57111216094,57313330257,45494695572
72208940450,72208140969,72174972679,72218288230,72124370635,72212533673,72201075166,72111216094,72313330257,60494695572
87208940450,87208140969,87174972679,87218288230,87124370635,87212533673,87201075166,87111216094,87313330257,75494695572
102208940450,102208140969,102174972679,102218288230,102124370635,102212533673,102201075166,102111216094,102313330257,90494695572
117208940450,117208140969,117174972679,117218288230,117124370635,117212533673,117201075166,117111216094,117313330257,105494695572
132208940450,132208140969,132174972679,132218288230,132124370635,132212533673,132201075166,132111216094,132313330257,120494695572
147208940450,147208140969,147174972679,147218288230,147124370635,147212533673,147201075166,147111216094,147313330257,135494695572
162208940450,162208140969,162174972679,162218288230,162124370635,162212533673,162201075166,162111216094,162313330257,150494695572
177208940450,177208140969,177174972679,177218288230,177124370635,177212533673,177201075166,177111216094,177313330257,165494695572
192208940450,192208140969,192174972679,192218288230,192124370635,192212533673,192201075166,192111216094,192313330257,180494695572
207208940450,207208140969,207174972679,207218288230,207124370635,207212533673,207201075166,207111216094,207313330257,195494695572
222208940450,222208140969,222174972679,222218288230,222124370635,222212533673,222201075166,222111216094,222313330257,210494695572
237208940450,237208140969,237174972679,237218288230,237124370635,237212533673,237201075166,237111216094,237313330257,225494695572
252208940450,252208140969,252174972679,252218288230,252124370635,252212533673,252201075166,252111216094,252313330257,240494695572
267208940450,267208140969,267174972679,267218288230,267124370635,267212533673,267201075166,267111216094,267313330257,255494695572
282208940450,282208140969,282174972679,282218288230,282124370635,282212533673,282201075166,282111216094,282313330257,270494695572
297208940450,297208140969,297174972679,297218288230,297124370635,297212533673,297201075166,297111216094,297313330257,285494695572
312208940450,312208140969,312174972679,312218288230,312124370635,312212533673,312201075166,312111216094,312313330257,300494695572
327208940450,327208140969,327174972679,327218288230,327124370635,327212533673,327201075166,327111216094,327313330257,315494695572
342208940450,342208140969,342174972679,342218288230,342124370635,342212533673,342201075166,342111216094,342313330257,330494695572
357208940450,357208140969,357174972679,357218288230,357124370635,357212533673,357201075166,357111216094,357313330257,345494695572
372208940450,372208140969,372174972679,372218288230,372124370635,372212533673,372201075166,372111216094,372313330257,360494695572
387208940450,387208140969,387174972679,387218288230,387124370635,387212533673,387201075166,387111216094,387313330257,375494695572
402208940450,402208140969,402174972679,402218288230,402124370635,402212533673,402201075166,402111216094,402313330257,390494695572
417208940450,417208140969,417174972679,417218288230,417124370635,417212533673,417201075166,417111216094,417313330257,405494695572
432208940450,432208140969,432174972679,432218288230,432124370635,432212533673,432201075166,432111216094,432313330257,420494695572
